Rank,Team,Rating,Wins,Losses
1st,Tundra Esports,1587,435,276
2nd,Team Falcons,1585,226,82
3rd,Cloud9,1552,326,239
4th,Gaimin Gladiators,1540,409,262
5th,Team Spirit,1534,584,408
6th,Team Liquid,1529,1449,980
7th,Xtreme Gaming,1502,325,286
8th,BB Team,1461,338,295
9th,Aurora.1xBet,1455,86,67
10th,BB Team,1425,26,17
11th,nouns,1418,261,198
12th,BOOM Esports,1396,554,387
13th,1w Team,1395,161,113
14th,G2 x iG,1390,1478,1114
15th,PSG.Quest,1366,249,168
16th,Nigma Galaxy,1365,375,346
17th,L1GA TEAM,1357,116,76
18th,Azure Ray,1351,248,195
19th,AVULUS,1335,38,17
20th,HEROIC,1334,100,87
21st,OG,1311,1044,716
22nd,LGD Gaming,1293,1748,1089
23rd,Team Zero,1281,104,69
24th,TeamWaska,1281,32,17
25th,Talon,1273,322,230
26th,Aurora Gaming,1270,19,24
27th,Blacklist Rivalry,1269,176,148
28th,Natus Vincere,1267,1214,1022
29th,Team Tough,1262,100,84
30th,Yellow Submarine,1256,138,104
31st,TNC Predator,1251,749,550
32nd,Shopify Rebellion,1247,1469,933
33rd,Team KEV,1243,36,32
34th,Team Tea,1237,68,26
35th,ESTAR_BACKS,1234,34,18
36th,Virtus.pro,1229,218,182
37th,fire beavers,1226,39,6
38th,TEAM TURTLE,1218,15,5
39th,Team Secret,1217,1152,657
40th,MOUZ,1215,121,117
41st,BLEED,1204,263,237
42nd,Blacklist International,1203,19,19
43rd,Parallel eSports,1198,792,553
44th,Apex Genesis,1198,58,40
45th,Execration,1197,534,469
46th,Infinity,1190,348,285
47th,beastcoast,1188,331,300
48th,МГАФК,1187,19,2
49th,Dandelions,1183,54,72
50th,Legacy,1181,19,11
51st,Night Pulse,1173,94,74
52nd,Business club,1173,17,4
53rd,Yangon Galacticos,1170,513,475
54th,Cuyes e-Sports,1168,59,36
55th,Business Club,1166,69,33
56th,9Pandas,1165,480,428
57th,Infinity,1164,27,10
58th,KEV,1163,19,13
59th,LEVIATAN,1163,34,28
60th,GALKYNYSH,1160,13,1
61st,Neon Esports,1158,604,524
62nd,DMS,1150,32,30
63rd,Geek Fam,1150,18,20
64th,NAVI Junior,1149,147,139
65th,Rakuzan,1143,25,14
66th,Twisted Minds,1140,58,63
67th,Рыцари Hiden pool'а,1138,10,0
68th,Team Darleng,1133,10,10
69th,Evil Rabbit,1132,24,16
70th,Matreshka,1132,55,45
71st,One Move,1131,257,228
72nd,FALL VICTIMS,1130,486,506
73rd,Dominion,1125,39,24
74th,Estar Backs!,1123,41,33
75th,Uzumaki,1122,195,108
76th,Hokori,1121,349,346
77th,Business Club,1120,418,132
78th,Big Bang Gaming,1114,735,605
79th,Passion UA,1114,89,87
80th,ZEUS THUNDER GOD,1112,237,258
81st,ToLight TEAM,1112,14,7
82nd,Kohzens+4,1111,8,0
83rd,STARFAll,1108,13,4
84th,skem&friends,1107,7,3
85th,K(P)FU-2,1104,12,3
86th,beastcoast,1101,23,34
87th,Teiko,1100,25,15
88th,UZUMAKI,1098,6,3
89th,Swift Knights,1096,1588,1137
90th,Gantz,1096,15,9
91st,ValenTiny,1095,9,2
92nd,The Mad Ronin,1094,15,10
93rd,Prodigy Of God,1093,277,432
94th,MAG Indonesia,1092,63,51
95th,DerzhaWIN,1090,7,2
96th,Yakovlev eSports,1087,14,7
97th,Universitario eSports 1,1087,95,115
98th,TEAM FREEDOM ESPORT,1087,123,90
99th,Midas Club,1087,79,109
100th,2late,1086,6,0
